artist_names,track_name,lyrics,r,g,b
IVE,I AM,"다른 문을 열어, 따라갈 필요는 없어 넌 너의 길로, 난 나의 길로, mm 하루하루마다 (ah) 색이 달라진 느낌 (ah) 밝게 빛이 나는 길을 찾아 (ah) I'm on my way, 넌 그냥 믿으면 돼 I'm on my way, 보이는 그대로야 너는 누군가의 dreams come true 제일 좋은 어느 날의 déjà vu 머물고픈 어딘가의 낯선 view I'll be far away, that's my- Life is 아름다운 galaxy Be a writer, 장르로는 fantasy 내일 내게 열리는 건 big, big stage So that is who I am Look at me, look at me, look at me now 어제랑 또 다른 짜릿한 나 두려운 모든 게 설레게 I'm in sky high, oh, my God, ha 사소한 건 다 아득해져 와 Look at me now, look at me now, I'm on fire I'm on my way, 넌 그냥 믿으면 돼 I'm on my way, 보이는 그대로야 너는 누군가의 dreams come true 제일 좋은 어느 날의 déjà vu 머물고픈 어딘가의 낯선 view I'll be far away, that's my- Life is 아름다운 galaxy Be a writer, 장르로는 fantasy 내일 내게 열리는 건 big, big stage So that is who I am 어느 깊은 밤, 길을 잃어도 차라리 날아올라, 그럼 네가 지나가는 대로 길이거든 One, two, three, one, two, three, one, two, three, fly up! I hope you'd be someone's dreams come true 제일 좋은 어느 날의 déjà vu (ooh) 머물고픈 어딘가의 낯선 view (ay, yeah) I'll be far away, that's my- Life is 아름다운 galaxy (아름다운, yeah) Be a writer, 장르로는 fantasy 내일 내게 열리는 건 big, big stage (ay, yeah) So that is who I am",41.0,41.0,41.0
IVE,Kitsch,"It's our time 우린 달라, 특별한 게 좋아 Oh, what a good time 난 잘 살아, 내 걱정은 낭비야 니가 보낸 DM을 읽고 나서 답이 없는 게 내 답이야 (That's my style) OOTD 하나까지 완전 우리답지 My favorite things 그런 것들엔 좀 점수를 매기지 마 난 생겨 먹은 대로 사는 애야 뭘 더 바래? That's my style (That's my style) 우리만의 자유로운 nineteen's kitsch 지금까지 한 적 없는 custom fit 올려 대는 나의 feed엔 like it 홀린 듯이 눌러 모두 다 like it 내가 추는 춤을 다들 따라 춰 매일 너의 알고리즘에 난 떠 겉잡을 수 없이 올라 미친 score 그 누구도 예상 못 할 nineteen's kitsch 우리만의 자유로운 nineteen's kitsch 우리-우리만의 자유로운 nineteen's kitsch 우리만의 자유로운 nineteen's kitsch 우리-우리만의 자유로운 nineteen's kitsch Kitsch, kitsch, kitsch, kitsch Kitsch, kitsch, kitsch 우리만의 자유로운 nineteen's kitsch 우리-우리만의 자유로운 달콤한 말 뒤에 숨긴 너의 의도대로 따라가진 않을 거야, 난 똑똑하니까 난 절대 끌리지 않는 것에 끌려가지 않아 That's my style (That's my style) 우리만의 자유로운 nineteen's kitsch 지금까지 한 적 없는 custom fit 올려 대는 나의 feed엔 like it 홀린 듯이 눌러 모두 다 like it 내가 추는 춤을 다들 따라 춰 매일 너의 알고리즘에 난 떠 겉잡을 수 없이 올라 미친 score 그 누구도 예상 못 할 nineteen's kitsch 우리만의 자유로운 nineteen's kitsch 우리-우리만의 자유로운 nineteen's kitsch 우리만의 자유로운 nineteen's kitsch 우리-우리만의 자유로운 nineteen's kitsch Kitsch, kitsch, kitsch, kitsch Kitsch, kitsch, kitsch 우리만의 자유로운 nineteen's kitsch 우리-우리만의 자유로운 Yah 모두 주목해 내가 좋아하는 것만 하면 뭐 어때? Huh This ain't your life 쓸데없는 생각 따위 go away 답답한 이 세상 앞엔 멋대로 할래 YOLO! Say no! 너의 길을 가 now 잔소리는 quite down 이제 그만 peace out 우리만의 자유로운 nineteen's kitsch 지금까지 한 적 없는 custom fit 올려 대는 나의 feed엔 like it 홀린 듯이 눌러 모두 다 like it 내가 추는 춤을 다들 따라 춰 매일 너의 알고리즘에 난 떠 겉잡을 수 없이 올라 미친 score 그 누구도 예상 못 할 nineteen's kitsch 우리만의 자유로운 nineteen's kitsch 우리-우리만의 자유로운 nineteen's kitsch 우리만의 자유로운 nineteen's kitsch 우리-우리만의 자유로운 nineteen's kitsch Kitsch, kitsch, kitsch, kitsch Kitsch, kitsch, kitsch 우리만의 자유로운 nineteen's kitsch 우리-우리만의 자유로운 nineteen's kitsch",41.0,41.0,41.0
Jimin,Like Crazy,"She's saying, ""Baby, 생각하지 마"" There's not a bad thing here tonight Baby, 떠나도 좋아 있어 줘 오늘까지만 Watch me go, 날 적셔 밤새도록, away 아침도 취해서 오지 않게 (않게) 시끄러운 음악 속에 희미해진 나 드라마같은 뻔한 story 익숙해져 가 네가 알던 나를 찾기엔 멀리 온 걸까? Yeah, I know, you know, I know (ooh) I'd rather be lost in the lights, lost in the lights I'm out of my mind, 이 밤의 끝을 잡아줘 매일 밤, you spin me up high 너를 품은 달, let me have a taste Give me a good ride (Oh, I'm fallin', I'm fallin', I'm fallin') Oh, it's gon' be a good night (Oh, I'm fallin') forever, you and I Hmm-hmm, yeah, yeah Hmm-hmm, yeah, yeah Hmm-hmm, yeah, yeah Hmm-hmm (forever, you and I) 거울 속에 비친 나 하염없이 미쳐가 I'm feelin' so alive, wasting time I'd rather be lost in the lights, lost in the lights I'm out of my mind, 이 밤의 끝을 잡아줘 매일 밤, you spin me up high 너를 품은 달, let me have a taste Give me a good ride (Oh, I'm fallin', I'm fallin', I'm fallin') Oh, it's gon' be a good night (Oh, I'm fallin') forever, you and I This will break me, this is gonna break me (break me) No, don't you wake me (wake me) I wanna stay in this dream Don't save me, don't you try to save me (save me) I need a way we (way we) I need a way we can dream on (dream on)",156.0,152.0,151.0
JISOO,FLOWER,"Eh-eh-eh-eh Eh-eh-eh-eh A-B-C, Do-Re-Mi 만큼 착했던 나 그 눈빛이 싹 변했지 어쩜 이 또한 나니까 난 파란 나비처럼 날아가 잡지 못한 건 다 네 몫이니까 활짝 꽃 피웠던 시간도 이제 모두 내겐 lie, lie, lie 붉게 타버려진 너와 나 난 괜찮아, 넌 괜찮을까? 구름 한 점 없이 예쁜 날 꽃향기만 남기고 갔단다 꽃향기만 남기고 갔단다 You and me 미칠 듯이 뜨거웠지만 처참하게 짓밟혀진 내 하나뿐인 lilac 난 하얀 꽃잎처럼 날아가 잡지 않는 것은 너니까 살랑살랑 부는 바람에 이끌려 봄은 오지만 우린 bye, bye, bye 붉게 타버려진 너와 나 난 괜찮아, 넌 괜찮을까? 구름 한 점 없이 예쁜 날 꽃향기만 남기고 갔단다 꽃향기만 남기고 갔단다 이젠 안녕 goodbye 뒤는 절대 안 봐 미련이란 이름의 잎새 하나 봄비에 너에게서 떨어져 꽃향기만 남아 hey, hey Hey, hey Hey, hey 꽃향기만 남기고 갔단다",39.0,33.0,8.0
NewJeans,OMG,"이 노래는 it's about you, baby Only you You, you, you, you, you, you, you 내가 힘들 때, 울 것 같을 때 기운도 이젠 나지 않을 때 (It's you) 날 걱정하네, (it's you) 날 웃게하네 말 안 해도 돼, boy, what do you say? 멀리든 언제든지 달려와 (They keep on asking me, ""who is he?"") 바쁜 척도 없이 넌 나타나 (They keep on asking me, ""who is he?"") ""이게 말이 되니?"" 난 물어봐 (They keep on asking me, ""who is he?"") 너는 말야, he's the one that's living in my system, baby Oh my, oh my God! 예상했어 나 I was really hoping that he will come through Oh my, oh my God! 단 너뿐이야 Asking all the time about what I should do No, I can never let him go, 너만 생각나 24 난 행운아야 정말로, I know, I know 널 알기 전까지는 나, 의미 없었어 전부 다 내 맘이 끝이 없는 걸, I know, I know I'm going crazy, right? 어디서든, 몇 번이든 There ain't nothing else that I would hold on to I hear his voice through all the noise 잠시라도 내 손 놓지 마, no, no 걱정 없잖아 'cause I got someone 혼자라도 괜찮아 'cause I love someone 멀리든 언제든지 달려와 (They keep on asking me, ""who is he?"") 바쁜 척도 없이 넌 나타나 (They keep on asking me, ""who is he?"") ""이게 말이 되니?"" 난 물어봐 (They keep on asking me, ""who is he?"") 너는 말야, he's the one that's living in my system, baby Oh my, oh my God! 예상했어 나 I was really hoping that he will come through Oh my, oh my God! 단 너뿐이야 Asking all the time about what I should do No, I can never let him go, 너만 생각나 24 난 행운아야 정말로, I know, I know 널 알기 전까지는 나, 의미 없었어 전부 다 내 맘이 끝이 없는 걸, I know, I know He's the one that's living in my system, baby Baby, baby Bab-baby (I'm going crazy, right?) Baby, baby (I'm going crazy, right?) Bab-baby (너와 나) My heart is glowing, it's glowing up (glowing up) 너랑만 있으면 무서울 게 없어 (glowing up) 가득 메워진, 다 메워진 (붉어진) My heart is glowing, it'd be glowing ('cause he!) Oh my, oh my God! 예상했어 나 I was really hoping that he will come through Oh my, oh my God! 단 너뿐이야 Asking all the time about what I should do (너와 나) No, I can never let him go, he's right there for me, 24 난 행운아야 정말로, I know, I know (너와 나) 널 알기 전까지는 나, 의미 없었어 전부 다, 어떡해 My heart is glowing, it's glowing My heart is glowing up, so I can't sleep at night",195.0,195.0,195.0
Jimin,Set Me Free Pt.2,"Ay I got a good time Yeah, time to get mine 헤맸어, 미로 Hennessy and night I never stop, I never stop 다시 repe-e-eat I never stop, fuck all your opps Finally free-e-e Ah, yeah, ah, yeah 끝에 멈춰 선 나 Not yet, not yet 돌아보지 않아 Now, yeah, now, yeah 날아가 butterfly-y-y Finally free-e-e Look at me now (me now) 더 이상 아파도 숨지 않아 미치지 않기 위해 미치려는 것 지나간 나를 위해 손을 들어 Now, set me free-e-e Set me free-e-e Set me free-e-e Set me free-e-e Set me free-e-e set me free-e-e (Oh-eh-oh, oh-eh-oh) set me free-e-e (Oh-eh-oh, oh-eh-oh) set me free-e-e (Oh-eh-oh, oh-eh-oh) set me free-e-e I got feel low Still 난 미로 But I got no time to break soul Just let me flow Hey fool, just get out of my way Shut up, fuck off I'm on my way Ah, yeah, ah, yeah 시작된 나의 primetime Forget, forget 기꺼이 올라타 Now, yeah, now, yeah 날아가 butterfly-y-y Finally free Look at me now 날 비웃어도 멈추지 않아 미치지 않기 위해 미치려는 것 지나간 날을 위해 손을 들어 Now, set me free-e-e (set me free, set me free) Set me free-e-e (set me free) Set me free-e-e (set me free, set me free) Set me free-e-e (won't you set me free?) Set me free-e-e (yeah) set me free-e-e (Oh-eh-oh, oh-eh-oh) set me free-e-e (Oh-eh-oh, oh-eh-oh) (free, free) set me free-e-e (Oh-eh-oh, oh-eh-oh) set me free-e-e set me free-e-e",156.0,152.0,151.0
NewJeans,Ditto,"Hoo-ooh-ooh-ooh Hoo-ooh-ooh-ooh Stay in the middle Like you a little Don't want no riddle 말해줘 say it back, oh, say it ditto 아침은 너무 멀어 so say it ditto 훌쩍 커버렸어 함께한 기억처럼 널 보는 내 마음은 어느새 여름 지나 가을 기다렸지 all this time Do you want somebody Like I want somebody? 날 보고 웃었지만 Do you think about me now? Yeah All the time, yeah, all the time I got no time to lose 내 길었던 하루, 난 보고 싶어 Ra-ta-ta-ta 울린 심장 (ra-ta-ta-ta) I got nothing to lose 널 좋아한다고 ooh-whoa, ooh-whoa, ooh-whoa Ra-ta-ta-ta 울린 심장 (ra-ta-ta-ta) But I don't want to Stay in the middle Like you a little Don't want no riddle 말해줘 say it back, oh, say it ditto 아침은 너무 멀어 so say it ditto I don't want to walk in this 미로 다 아는 건 아니어도 바라던 대로 말해줘 say it back Oh, say it ditto I want you so, want you, so say it ditto Not just anybody 너를 상상했지 항상 닿아있던 처음 느낌 그대로 난 기다렸지 all this time I got nothing to lose 널 좋아한다고 ooh-whoa, ooh-whoa, ooh-whoa Ra-ta-ta-ta 울린 심장 (ra-ta-ta-ta) But I don't want to Stay in the middle Like you a little Don't want no riddle 말해줘 say it back, oh, say it ditto 아침은 너무 멀어 so say it ditto I don't want to walk in this 미로 다 아는 건 아니어도 바라던 대로 말해줘 say it back Oh, say it ditto I want you so, want you, so say it ditto Hoo-ooh-ooh-ooh Hoo-ooh-ooh-ooh",147.0,30.0,46.0
FIFTY FIFTY,Cupid,"불 꺼진 romantic, all my life 내 주위는 온통 lovely day 내 눈 속에 비친 arrow sign (Oh, why? Oh, why?) (Oh, why? Oh, why?) I'm feeling lonely (lonely) 그만 힐끗대고 말해줘요 Hold me (hold me) 다시 crying in my room 숨기고 싶어 (say what you say, but I want it more) But still I want it more, more, more I gave a second chance to Cupid 널 믿은 내가 정말 stupid (oh-oh-oh) 보여줄게 숨겨왔던 love, is it real? Cupid is so dumb (oh-oh-oh) 또 꿈길을 걷는 every day (ah) 눈 뜨면 다시 또 flew away (oh) Waiting around is a waste (waste) 나 솔직히 지금이 편해 상상만큼 짜릿한 걸까? (Ah, ah) Now I'm so lonely (lonely) 매일 꿈속에서 연습했죠 Kiss me (kiss me) 다시 crying in my room 포기할까 봐 (say what you say, but I want it more) But still I want it more, more, more I gave a second chance to Cupid 널 믿은 내가 정말 stupid (oh-oh-oh) 보여줄게 숨겨왔던 love, is it real? Cupid is so dumb (oh-oh-oh) I'm so lonely, hold me tightly 짜릿한 걸 원해 Who will really love me truly? 내게 기다림은 없어 I can't wait 더는 믿지 않아 now I'm gonna make it mine Love is a light, I'll show my love is right It's not a joke, so give it to me right now No more chance to you You know? Hey, du-du-du-dumb boy 꿈속에 매일 밤 Someone who will share this feeling I'm a fool, a fool for love A fool for love I gave a second chance to Cupid 널 믿은 내가 정말 stupid (oh-oh-oh) 보여줄게 숨겨왔던 love, is it real? Cupid is so dumb (oh, oh, oh) I gave a second chance to Cupid (hopeless girl is seeking) 널 믿은 내가 정말 stupid (someone who will share this feeling) 다시 한번 못 들은 척 기회를 줄게 (I'm a fool) Cupid is so dumb (a fool for love, a fool for love)",251.0,52.0,35.0
NewJeans,Hype Boy,"Baby (baby), got me looking so crazy (crazy) 빠져버리는 daydream (daydream) Got me feeling you 너도 말해줄래? 누가 내게 뭐라든 남들과는 달라 넌 Maybe you could be the one (one) 날 믿어봐 한번 I'm not looking for just fun Maybe I could be the one Oh, baby (baby) 예민하대 나 lately (lately) 너 없이는 매일 매일이 yeah (매일이 yeah) 재미없어, 어쩌지? I just want you call my phone right now I just wanna hear, ""You're mine"" 'Cause I know what you like boy (ah-ah) You're my chemical hype boy (ah-ah) 내 지난날들은 눈 뜨면 잊는 꿈 Hype boy 너만 원해 Hype boy 내가 전해 And we can go high 말해봐 yeah 느껴봐 mm-mm Take him to the sky You know, I hype you, boy 눈을 감아 말해봐 yeah 느껴봐 mm-mm Take him to the sky You know, I hype you, boy 잠에 들려고, 잠에 들려 해도 니 생각에 또 새벽 세시 oh-oh 알려줄 거야 they can't have you no more 봐봐, 여기 내 이름 써있다고 yeah 누가 내게 뭐라든 남들과는 달라 넌 Maybe you could be the one 날 믿어봐 한번 I'm not looking for just fun Maybe I could be the one Oh, baby (baby) 예민하대 나 lately (lately) 너 없이는 매일 매일이 yeah (매일이 yeah) 재미없어, 어쩌지? I just want you call my phone right now I just wanna hear, ""You're mine"" 'Cause I know what you like boy (ah-ah) You're my chemical hype boy (ah-ah) 내 지난날들은 눈 뜨면 잊는 꿈 Hype boy 너만 원해 Hype boy 내가 전해 And we can go high 말해봐 yeah 느껴봐 mm-mm Take him to the sky You know, I hype you, boy 눈을 감아 말해봐 yeah 느껴봐 mm-mm Take him to the sky You know, I hype you, boy",44.0,54.0,126.0
"Agust D, IU",People Pt.2 (feat. IU),"So time is yet now, right here to go I know, you know, anything does know So time is yet now, right here to go Nobody doesn't know anymore 사랑이라는 말 (말) 어쩌면 순간의 감정의 나열 조건이 붙지, 나는 무얼 사랑하는가? 충분히 사랑받지 못한 아이 (아이) 그래서, 무엇보다, 신중한 type 나는 말야 원해 진중한 사이 알잖아 영원은 모래성 잔잔한 파도에도, 힘없이 쉽게 무너져 상실은 무엇 때문에 슬픈 걸까? (슬픈 걸까?) 사실은 두려운 게 슬픈 거야 (두려운 게 슬픈 거야) So far away, you're gone Getting far away Too far away, you're gone I know, I have to know, yeah So time is yet now, right here to go I know, you know, anything does know So time is yet now, right here to go Nobody doesn't know anymore, yeah 당신은 무엇 땜에 슬픈 걸까? (슬픈 걸까?) 사실은 두려움이 큰 거잖아 (큰 거잖아) 함께 미래를 그리던 우리는 없고 쌓은 모래성들을 부숴 버린 것은 우린 거야 (우린 거야) 승패가 없는 게임이라지만 난 언제나 game loser 모든 걸 주겠다던, 우린 모든 것을 부셔 그리고, 떠나지 사랑이든 사람이든 모두가 이기적이기 때문이야 (때문이야) So far away, you're gone Getting far away Too far away, you're gone I know, I have to know, yeah So time is yet now, right hеre to go (go) I know, you know, anything does know (hmm) So time is yеt now, right here to go (here to go) Nobody doesn't know anymore, yeah 떠가는 사람 (사람), 떠가는 사랑 (사랑) 사랑의 끝은 과연 무엇일까? (무엇일까?) 수많은 사람 (사람), 스쳐간 사랑 (사랑) 사랑은 사랑으로 완벽할까? (완벽할까?) 그래, 말야 이타적인 게 어쩌면 되려 이기적이네 널 위해 한다는 말은 곧 내 욕심이기에 욕심을 버리면 행복해질 건가? (행복해질 건가?) 채우지 못한 반쪽짜리 허상 삶은 저항과 복종 사이의 싸움이라는데 내가 보기에는 외로움들과의 싸움이네 눈물이 터져 나오면, 그대 울어도 돼 (울어도 돼) 당신은 사랑받기에도 이미 충분한데 So time is yet now, right here to go I know, you know, anything does know So time is yet now, right here to go Nobody doesn't know anymore, yeah",61.0,61.0,61.0
